dataset,ood_dataset,model,optimizer,seed,epoch,checkpoint_exists,checkpoint_path,clean_eval_exists,clean_accuracy,clean_loss,clean_eval_file,cifarc_eval_exists,cifarc_mean_accuracy,cifarc_mean_loss,ood_gap,cifarc_eval_file,severity_1_exists,severity_2_exists,severity_3_exists,severity_4_exists,severity_5_exists,severity_all_complete,corruption_results_exist,num_corruptions_found,missing_corruptions,hessian_exists,top_eigenvalue_exists,trace_exists,top_hessian_eigenvalue,trace_estimate,participation_ratio_approx,hessian_file,lanczos_exists,spectral_metrics_exist,invalid_lanczos,topk_eigenvalues_file,top_1_mass_ratio,top_5_mass_ratio,top_10_mass_ratio,lambda_max_over_topk_sum,spectral_entropy,effective_rank_entropy,participation_ratio_topk,status,missing_items,top_eigenvalue,severity_1_accuracy,severity_2_accuracy,severity_3_accuracy,severity_4_accuracy,severity_5_accuracy
cifar10,cifar10-c,resnet18,sgd,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sgd_seed42_ep100.pt,True,0.9505,0.1927917994976043,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed42_ep100_train.csv,True,0.7463826666666667,1.1892142178357443,0.2041173333333332,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed42_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,69.70096588134766,176.8826904296875,8.30990071025496,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed42_ep100_v3_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed42_ep100_v3_hessian_topk_eigenvalues.csv,0.4695933490961127,0.9107475080511056,0.967617124982406,0.4695933490961127,1.5572424524665545,4.745716645932845,3.232615514768886,COMPLETE,,69.70096588134766,0.8766466666666666,0.825,0.7646333333333334,0.6913733333333333,0.5742600000000001
cifar10,cifar10-c,resnet18,sgd,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sgd_seed43_ep100.pt,True,0.9508,0.1900670215845108,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed43_ep100_train.csv,True,0.73986,1.2395723718922933,0.21094,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed43_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,11.434112548828123,50.02398300170898,8.652580662621078,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed43_ep100_v2_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed43_ep100_v2_hessian_topk_eigenvalues.csv,0.2577616003242513,0.5677302609643589,0.7876980365668727,0.2577616003242513,2.6201915606059165,13.738355060646064,9.397373588287175,COMPLETE,,11.434112548828123,0.8764000000000001,0.8191533333333333,0.75508,0.68164,0.5670266666666667
cifar10,cifar10-c,resnet18,sgd,44,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sgd_seed44_ep100.pt,True,0.9507,0.1861573167324066,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed44_ep100_train.csv,True,0.744324,1.190185185641686,0.206376,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed44_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,11.310688018798828,46.77937316894531,8.74058792921722,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed44_ep100_v2_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sgd_seed44_ep100_v2_hessian_topk_eigenvalues.csv,0.2732442480264112,0.7136579095210012,0.8740286937647211,0.2732442480264112,2.3308547258166428,10.286730110390614,6.762396271466406,COMPLETE,,11.310688018798828,0.8781066666666667,0.8222933333333333,0.7604933333333334,0.6875933333333334,0.5731333333333333
cifar10,cifar10-c,resnet18,sam,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sam_seed42_ep100.pt,True,0.9571,0.1383976947665214,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed42_ep100_train.csv,True,0.7529773333333334,0.958232439263026,0.2041226666666665,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed42_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,5.342935085296631,48.161224365234375,8.872080282693629,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed42_ep100_v3_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed42_ep100_v3_hessian_topk_eigenvalues.csv,0.161466679507558,0.5560969227024679,0.7909710033319808,0.161466679507558,2.7062557789936283,14.973107803563153,11.995873663121698,COMPLETE,,5.342935085296631,0.8857733333333333,0.8317066666666667,0.77104,0.6978533333333333,0.5785133333333333
cifar10,cifar10-c,resnet18,sam,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sam_seed43_ep100.pt,True,0.9568,0.1344177839040756,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed43_ep100_train.csv,True,0.755352,0.9526439964936576,0.2014479999999999,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed43_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,5.0734968185424805,54.58081817626953,9.580460401322256,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed43_ep100_v2_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed43_ep100_v2_hessian_topk_eigenvalues.csv,0.1407934192365252,0.517615679359868,0.7701568572781357,0.1407934192365252,2.763328162614576,15.852514996829193,13.265176258768204,COMPLETE,,5.0734968185424805,0.8890466666666667,0.8350066666666667,0.77282,0.6980666666666667,0.58182
cifar10,cifar10-c,resnet18,sam,44,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sam_seed44_ep100.pt,True,0.954,0.1469770475387573,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed44_ep100_train.csv,True,0.7498466666666667,0.9819847403675714,0.2041533333333333,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed44_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,6.963425636291504,53.93184280395508,8.799611794054071,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed44_ep100_v2_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_sam_seed44_ep100_v2_hessian_topk_eigenvalues.csv,0.1701588426661326,0.547022868324717,0.783450913474225,0.1701588426661326,2.7151999545180767,15.10763060889801,12.05086159805215,COMPLETE,,6.963425636291504,0.8854933333333334,0.8330133333333334,0.76888,0.6917733333333334,0.5700733333333333
cifar10,cifar10-c,resnet18,asam,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_asam_seed42_ep100.pt,True,0.9571,0.1354376898765563,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed42_ep100_train.csv,True,0.7678773333333333,0.8050420420239767,0.1892226666666666,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed42_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,140.8516082763672,299.1678466796875,6.945655583311503,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed42_ep100_v4_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed42_ep100_v4_hessian_topk_eigenvalues.csv,0.4844966736816503,0.774624172130507,0.9152476850250932,0.4844966736816503,1.9528358765010596,7.048648360308076,3.7807122281197993,COMPLETE,,140.8516082763672,0.8951733333333334,0.8467533333333334,0.7867,0.7149133333333333,0.5958466666666666
cifar10,cifar10-c,resnet18,asam,43,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_asam_seed43_ep100.pt,True,0.9591,0.127273771572113,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed43_ep100_train.csv,True,0.7677653333333333,0.8492113397026062,0.1913346666666666,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed43_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,46.07755279541016,210.1813201904297,7.552460375479711,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed43_ep100_v2_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed43_ep100_v2_hessian_topk_eigenvalues.csv,0.2321770150412349,0.6490080762003646,0.8647455047006594,0.2321770150412349,2.461433756416157,11.721605424919485,8.666914054487027,COMPLETE,,46.07755279541016,0.8935,0.8445866666666666,0.7856866666666666,0.7163933333333333,0.59866
cifar10,cifar10-c,resnet18,asam,44,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_asam_seed44_ep100.pt,True,0.957,0.1329251687765121,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed44_ep100_train.csv,True,0.7749506666666667,0.7720512897985776,0.1820493333333332,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed44_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,25.6052188873291,172.39646911621094,8.01157720784128,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed44_ep100_v2_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar10_asam_seed44_ep100_v2_hessian_topk_eigenvalues.csv,0.2130720693604127,0.5882954041047268,0.8525055226698036,0.2130720693604127,2.529719415857062,12.54998431601463,9.985731561066135,COMPLETE,,25.6052188873291,0.8938066666666666,0.8484133333333334,0.7930600000000001,0.7279800000000001,0.6114933333333333
cifar100,cifar100-c,resnet18,sgd,42,100,True,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar100_sgd_seed42_ep100.pt,True,0.7773,0.8864697456359864,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed42_ep100_train.csv,True,0.487016,2.5159251277198798,0.2902839999999999,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed42_ep100_cifarc_summary.json,True,True,True,True,True,True,True,15,,True,True,True,133.16122436523438,447.4846801757813,6.625296518607384,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed42_ep100_hessian_geometry.json,True,True,False,D:\Study\2026s1\comp5329\asm2\Project\outputs\logs\ei100_cifar100_sgd_seed42_ep100_hessian_topk_eigenvalues.csv,0.5234726141846212,0.7276739742959637,0.8952883260770509,0.5234726141846212,1.9397837043555264,6.95724598587804,3.4186233132199733,COMPLETE,,133.16122436523438,0.63832,0.5564199999999999,0.4907333333333333,0.42353999999999997,0.32606666666666667
