dataset,model,optimizer,seed,corruption,accuracy
cifar10,resnet18,sgd,42,gaussian_noise,0.47257999999999994
cifar10,resnet18,sgd,42,shot_noise,0.60264
cifar10,resnet18,sgd,42,impulse_noise,0.52866
cifar10,resnet18,sgd,42,defocus_blur,0.83348
cifar10,resnet18,sgd,42,glass_blur,0.53984
cifar10,resnet18,sgd,42,motion_blur,0.78876
cifar10,resnet18,sgd,42,zoom_blur,0.7897000000000001
cifar10,resnet18,sgd,42,snow,0.8294600000000001
cifar10,resnet18,sgd,42,frost,0.80342
cifar10,resnet18,sgd,42,fog,0.88888
cifar10,resnet18,sgd,42,brightness,0.9358599999999999
cifar10,resnet18,sgd,42,contrast,0.76154
cifar10,resnet18,sgd,42,elastic_transform,0.8533
cifar10,resnet18,sgd,42,pixelate,0.7694799999999999
cifar10,resnet18,sgd,42,jpeg_compression,0.79814
cifar10,resnet18,sgd,43,gaussian_noise,0.4484
cifar10,resnet18,sgd,43,shot_noise,0.57896
cifar10,resnet18,sgd,43,impulse_noise,0.5347000000000001
cifar10,resnet18,sgd,43,defocus_blur,0.8268000000000001
cifar10,resnet18,sgd,43,glass_blur,0.5641200000000001
cifar10,resnet18,sgd,43,motion_blur,0.77728
cifar10,resnet18,sgd,43,zoom_blur,0.7750999999999999
cifar10,resnet18,sgd,43,snow,0.8231999999999999
cifar10,resnet18,sgd,43,frost,0.78498
cifar10,resnet18,sgd,43,fog,0.89268
cifar10,resnet18,sgd,43,brightness,0.9372399999999999
cifar10,resnet18,sgd,43,contrast,0.7761199999999999
cifar10,resnet18,sgd,43,elastic_transform,0.8450200000000001
cifar10,resnet18,sgd,43,pixelate,0.7468600000000001
cifar10,resnet18,sgd,43,jpeg_compression,0.78644
cifar10,resnet18,sgd,44,gaussian_noise,0.46932
cifar10,resnet18,sgd,44,shot_noise,0.59246
cifar10,resnet18,sgd,44,impulse_noise,0.5477000000000001
cifar10,resnet18,sgd,44,defocus_blur,0.83034
cifar10,resnet18,sgd,44,glass_blur,0.56534
cifar10,resnet18,sgd,44,motion_blur,0.7885
cifar10,resnet18,sgd,44,zoom_blur,0.78802
cifar10,resnet18,sgd,44,snow,0.8169599999999999
cifar10,resnet18,sgd,44,frost,0.78638
cifar10,resnet18,sgd,44,fog,0.8880800000000001
cifar10,resnet18,sgd,44,brightness,0.9376
cifar10,resnet18,sgd,44,contrast,0.76616
cifar10,resnet18,sgd,44,elastic_transform,0.8504200000000001
cifar10,resnet18,sgd,44,pixelate,0.74902
cifar10,resnet18,sgd,44,jpeg_compression,0.78856
cifar10,resnet18,sam,42,gaussian_noise,0.46254
cifar10,resnet18,sam,42,shot_noise,0.58726
cifar10,resnet18,sam,42,impulse_noise,0.54674
cifar10,resnet18,sam,42,defocus_blur,0.84016
cifar10,resnet18,sam,42,glass_blur,0.56706
cifar10,resnet18,sam,42,motion_blur,0.80066
cifar10,resnet18,sam,42,zoom_blur,0.7946
cifar10,resnet18,sam,42,snow,0.8389199999999999
cifar10,resnet18,sam,42,frost,0.80216
cifar10,resnet18,sam,42,fog,0.8941399999999999
cifar10,resnet18,sam,42,brightness,0.9445
cifar10,resnet18,sam,42,contrast,0.77586
cifar10,resnet18,sam,42,elastic_transform,0.8662599999999999
cifar10,resnet18,sam,42,pixelate,0.75786
cifar10,resnet18,sam,42,jpeg_compression,0.81594
cifar10,resnet18,sam,43,gaussian_noise,0.46412
cifar10,resnet18,sam,43,shot_noise,0.5944
cifar10,resnet18,sam,43,impulse_noise,0.5508
cifar10,resnet18,sam,43,defocus_blur,0.84322
cifar10,resnet18,sam,43,glass_blur,0.5727599999999999
cifar10,resnet18,sam,43,motion_blur,0.79992
cifar10,resnet18,sam,43,zoom_blur,0.80346
cifar10,resnet18,sam,43,snow,0.84034
cifar10,resnet18,sam,43,frost,0.8046199999999999
cifar10,resnet18,sam,43,fog,0.8958999999999999
cifar10,resnet18,sam,43,brightness,0.94696
cifar10,resnet18,sam,43,contrast,0.77796
cifar10,resnet18,sam,43,elastic_transform,0.86574
cifar10,resnet18,sam,43,pixelate,0.7537200000000001
