target,dataset,architecture,model_family,predictors,n,r2,adjusted_r2,warning
cifar_c_acc_final,CIFAR-10-C,ResNet-18,clean_only,clean_acc,9,0.6917766898452755,0.6477447883946006,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,scalar_flatness,clean_acc+lambda_max,9,0.7688796238775026,0.6918394985033369,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,curvature_magnitude,clean_acc+lambda_max+trace_estimate,9,0.9073422762215808,0.8517476419545293,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,entropy_rank,clean_acc+effective_rank+spectral_entropy,9,0.8353967171069028,0.7366347473710444,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,full_available_geometry,clean_acc+lambda_max+trace_estimate+effective_rank+spectral_entropy,9,0.9154278779966785,0.7744743413244759,n_small
ood_gap,CIFAR-10-C,ResNet-18,clean_only,clean_acc,9,0.4998050995204587,0.4283486851662385,n_small
ood_gap,CIFAR-10-C,ResNet-18,scalar_flatness,clean_acc+lambda_max,9,0.6249302706036308,0.4999070274715077,n_small
ood_gap,CIFAR-10-C,ResNet-18,curvature_magnitude,clean_acc+lambda_max+trace_estimate,9,0.8496320057663992,0.7594112092262387,n_small
ood_gap,CIFAR-10-C,ResNet-18,entropy_rank,clean_acc+effective_rank+spectral_entropy,9,0.732876391912118,0.5726022270593887,n_small
ood_gap,CIFAR-10-C,ResNet-18,full_available_geometry,clean_acc+lambda_max+trace_estimate+effective_rank+spectral_entropy,9,0.8627535856144052,0.6340095616384138,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,clean_only,clean_acc,9,0.6351230582869292,0.5829977808993476,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,scalar_flatness,clean_acc+lambda_max,9,0.6923620372207391,0.5898160496276521,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,curvature_magnitude,clean_acc+lambda_max+trace_estimate,9,0.707708205978554,0.5323331295656863,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,entropy_rank,clean_acc+effective_rank+spectral_entropy,9,0.6855711750202736,0.49691388003243786,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,full_available_geometry,clean_acc+lambda_max+trace_estimate+effective_rank+spectral_entropy,9,0.7293767035377328,0.27833787610062066,n_small
ood_gap,CIFAR-10-C,ResNet-34,clean_only,clean_acc,9,0.4548682786060183,0.3769923184068781,n_small
ood_gap,CIFAR-10-C,ResNet-34,scalar_flatness,clean_acc+lambda_max,9,0.5403841869846882,0.3871789159795842,n_small
ood_gap,CIFAR-10-C,ResNet-34,curvature_magnitude,clean_acc+lambda_max+trace_estimate,9,0.5633115973945515,0.3012985558312824,n_small
ood_gap,CIFAR-10-C,ResNet-34,entropy_rank,clean_acc+effective_rank+spectral_entropy,9,0.5302385351829924,0.24838165629278774,n_small
ood_gap,CIFAR-10-C,ResNet-34,full_available_geometry,clean_acc+lambda_max+trace_estimate+effective_rank+spectral_entropy,9,0.5956846635548754,-0.07817423052033234,n_small
cifar_c_acc_final,CIFAR-100-C,ResNet-18,clean_only,clean_acc,9,0.8771614958506213,0.8596131381149958,n_small
cifar_c_acc_final,CIFAR-100-C,ResNet-18,scalar_flatness,clean_acc+lambda_max,9,0.8853706326592738,0.8471608435456984,n_small
cifar_c_acc_final,CIFAR-100-C,ResNet-18,curvature_magnitude,clean_acc+lambda_max+trace_estimate,9,0.893768379404842,0.8300294070477472,n_small
cifar_c_acc_final,CIFAR-100-C,ResNet-18,entropy_rank,clean_acc+effective_rank+spectral_entropy,9,0.899163538820427,0.8386616621126832,n_small
cifar_c_acc_final,CIFAR-100-C,ResNet-18,full_available_geometry,clean_acc+lambda_max+trace_estimate+effective_rank+spectral_entropy,9,0.947608841168689,0.8602902431165041,n_small
ood_gap,CIFAR-100-C,ResNet-18,clean_only,clean_acc,9,0.6145732874369733,0.559512328499398,n_small
ood_gap,CIFAR-100-C,ResNet-18,scalar_flatness,clean_acc+lambda_max,9,0.6403308512810462,0.5204411350413949,n_small
ood_gap,CIFAR-100-C,ResNet-18,curvature_magnitude,clean_acc+lambda_max+trace_estimate,9,0.6666802109015854,0.46668833744253657,n_small
ood_gap,CIFAR-100-C,ResNet-18,entropy_rank,clean_acc+effective_rank+spectral_entropy,9,0.6836084417661872,0.4937735068258995,n_small
ood_gap,CIFAR-100-C,ResNet-18,full_available_geometry,clean_acc+lambda_max+trace_estimate+effective_rank+spectral_entropy,9,0.835613822754108,0.5616368606776214,n_small
