dataset,architecture,optimizer,seed,epoch,clean_acc,cifar_c_acc_final,ood_gap,lambda_max,trace_estimate,top5_mass_ratio,lambda_max_over_topk_mass,effective_rank,spectral_entropy,participation_ratio,checkpoint_path,source_file
CIFAR-10-C,ResNet-18,ASAM,42.0,100.0,0.9571,0.7678773333333333,0.1892226666666666,140.8516082763672,299.1678466796875,0.774624172130507,0.4844966736816503,7.048648360308076,1.95283587650106,3.7807122281197993,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_asam_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,ASAM,43.0,100.0,0.9591,0.7677653333333333,0.1913346666666666,46.07755279541016,210.1813201904297,0.6490080762003646,0.2321770150412349,11.721605424919485,2.461433756416157,8.666914054487027,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_asam_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,ASAM,44.0,100.0,0.957,0.7749506666666667,0.1820493333333332,25.6052188873291,172.39646911621094,0.5882954041047268,0.2130720693604127,12.54998431601463,2.529719415857062,9.985731561066135,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_asam_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,SAM,42.0,100.0,0.9571,0.7529773333333334,0.2041226666666665,5.342935085296631,48.161224365234375,0.5560969227024679,0.161466679507558,14.973107803563153,2.7062557789936283,11.995873663121698,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sam_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,SAM,43.0,100.0,0.9568,0.755352,0.2014479999999999,5.0734968185424805,54.58081817626953,0.517615679359868,0.1407934192365252,15.852514996829193,2.763328162614576,13.265176258768204,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sam_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,SAM,44.0,100.0,0.954,0.7498466666666667,0.2041533333333333,6.963425636291504,53.93184280395508,0.547022868324717,0.1701588426661326,15.10763060889801,2.7151999545180767,12.05086159805215,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sam_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,SGD,42.0,100.0,0.9505,0.7463826666666667,0.2041173333333332,69.70096588134766,176.8826904296875,0.9107475080511056,0.4695933490961127,4.745716645932845,1.5572424524665545,3.232615514768886,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sgd_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,SGD,43.0,100.0,0.9508,0.73986,0.21094,11.434112548828123,50.02398300170898,0.5677302609643589,0.2577616003242513,13.738355060646064,2.6201915606059165,9.397373588287175,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sgd_seed43_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-18,SGD,44.0,100.0,0.9507,0.744324,0.206376,11.310688018798828,46.77937316894531,0.7136579095210012,0.2732442480264112,10.286730110390614,2.3308547258166428,6.762396271466406,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei100_cifar10_sgd_seed44_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
CIFAR-10-C,ResNet-34,ASAM,42.0,100.0,0.9612,0.7981186666666666,0.1630813333333334,47.36434173583984,154.58349609375,0.5967815056543649,0.2521288450769763,11.30195688756119,2.424975886615452,8.753730020424916,D:\Study\2026s1\comp5329\asm2\Project\outputs\checkpoints\ei_arch_cifar10_resnet34_asam_seed42_ep100.pt,outputs/iconip_package_greenblue_v2/analysis/cleaned_formal_run_metrics.csv
