dataset,model,optimizer,seed,rank,normalized_positive_mass
cifar10,resnet18,sgd,42,1,0.4695933490961127
cifar10,resnet18,sgd,42,2,0.2540816687801858
cifar10,resnet18,sgd,42,3,0.15086957990201882
cifar10,resnet18,sgd,42,4,0.01894429898560587
cifar10,resnet18,sgd,42,5,0.01725861128718256
cifar10,resnet18,sgd,42,6,0.015086840727876055
cifar10,resnet18,sgd,42,7,0.011348512158353436
cifar10,resnet18,sgd,42,8,0.010935388149633081
cifar10,resnet18,sgd,42,9,0.01022052408156208
cifar10,resnet18,sgd,42,10,0.009278351813875641
cifar10,resnet18,sgd,42,11,0.007849911956984503
cifar10,resnet18,sgd,42,12,0.007040156965987985
cifar10,resnet18,sgd,42,13,0.005818255821625179
cifar10,resnet18,sgd,42,14,0.004837358072417771
cifar10,resnet18,sgd,42,15,0.0034814574131330034
cifar10,resnet18,sgd,42,16,0.002251381036585206
cifar10,resnet18,sgd,42,17,0.001039970854550817
cifar10,resnet18,sgd,42,18,6.438289630949049e-05
cifar10,resnet18,sgd,43,1,0.2577616003242513
cifar10,resnet18,sgd,43,2,0.10164802007873112
cifar10,resnet18,sgd,43,3,0.07526323150349022
cifar10,resnet18,sgd,43,4,0.07035614882857744
cifar10,resnet18,sgd,43,5,0.06270126022930872
cifar10,resnet18,sgd,43,6,0.05006329960314925
cifar10,resnet18,sgd,43,7,0.04515548600300349
cifar10,resnet18,sgd,43,8,0.04278348582462548
cifar10,resnet18,sgd,43,9,0.04201912613669454
cifar10,resnet18,sgd,43,10,0.03994637803504107
cifar10,resnet18,sgd,43,11,0.03447263751159084
cifar10,resnet18,sgd,43,12,0.03286016001592557
cifar10,resnet18,sgd,43,13,0.030466753402231903
cifar10,resnet18,sgd,43,14,0.025971549783324336
cifar10,resnet18,sgd,43,15,0.024420905337698404
cifar10,resnet18,sgd,43,16,0.018194434093029344
cifar10,resnet18,sgd,43,17,0.01540674437342422
cifar10,resnet18,sgd,43,18,0.012574276078011596
cifar10,resnet18,sgd,43,19,0.009873157331105515
cifar10,resnet18,sgd,43,20,0.008061345506785599
cifar10,resnet18,sgd,44,1,0.2732442480264112
cifar10,resnet18,sgd,44,2,0.19966046423318745
cifar10,resnet18,sgd,44,3,0.14731999939141954
cifar10,resnet18,sgd,44,4,0.05049547552452361
cifar10,resnet18,sgd,44,5,0.04293772234545934
cifar10,resnet18,sgd,44,6,0.042704774955139725
cifar10,resnet18,sgd,44,7,0.035217745236082794
cifar10,resnet18,sgd,44,8,0.03081236375373196
cifar10,resnet18,sgd,44,9,0.02690996469081968
cifar10,resnet18,sgd,44,10,0.024725935607945875
cifar10,resnet18,sgd,44,11,0.021978602084313015
cifar10,resnet18,sgd,44,12,0.020246176222567462
cifar10,resnet18,sgd,44,13,0.017650666627619837
cifar10,resnet18,sgd,44,14,0.014231927278345732
cifar10,resnet18,sgd,44,15,0.012819468524831044
cifar10,resnet18,sgd,44,16,0.010950143318744268
cifar10,resnet18,sgd,44,17,0.009513664111008775
cifar10,resnet18,sgd,44,18,0.008274692243831221
cifar10,resnet18,sgd,44,19,0.005835962637484716
cifar10,resnet18,sgd,44,20,0.004470003186532762
cifar10,resnet18,sam,42,1,0.16146667950755805
