dataset,architecture,optimizer,seed,epoch,run_name,checkpoint_path,checkpoint_exists,clean_acc,cifar_c_acc,ood_gap,lambda_max,trace_estimate,top5_mass_ratio,lambda_max_over_topk_mass,effective_rank,spectral_entropy,participation_ratio,eval_source_file,hessian_source_file,topk_source_file,notes
CIFAR-10-C,ResNet-18,SGD,42,20,traj_cifar10_resnet18_sgd_seed42_ep20,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sgd_seed42_epoch20.pt,True,0.8332,0.5910346666666666,0.24216533333333345,86.40727233886719,398.8612976074219,0.8080204116618467,0.2770358044899545,7.452522269219621,2.0085525347198847,6.147893349222053,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep20_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep20_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep20_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SGD,42,40,traj_cifar10_resnet18_sgd_seed42_ep40,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sgd_seed42_epoch40.pt,True,0.8292,0.5942933333333333,0.2349066666666667,139.64068603515625,723.361572265625,0.7582209985994703,0.23059923723680617,8.186577648151875,2.1024959409546304,7.116816670400862,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep40_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep40_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep40_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SGD,42,60,traj_cifar10_resnet18_sgd_seed42_ep60,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sgd_seed42_epoch60.pt,True,0.8992,0.6887880000000001,0.21041199999999993,123.4024658203125,596.00244140625,0.787564148988797,0.27283401521692513,7.749281272951151,2.047600100090686,6.474778909877177,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep60_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep60_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep60_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SGD,42,80,traj_cifar10_resnet18_sgd_seed42_ep80,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sgd_seed42_epoch80.pt,True,0.9354,0.7230413333333333,0.2123586666666667,110.74751281738281,115.5745849609375,0.946906778235241,0.7547005426360986,2.7337396609460893,1.0056705109975148,1.7222916203685683,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep80_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep80_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep80_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SGD,42,100,traj_cifar10_resnet18_sgd_seed42_ep100,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sgd_seed42_epoch100.pt,True,0.9505,0.7463853333333333,0.20411466666666667,5.196663856506348,13.612394332885742,0.8101581788330472,0.3666048041390913,7.014476251661909,1.947976049564274,5.1292469881084735,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep100_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep100_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sgd_seed42_ep100_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SAM,42,20,traj_cifar10_resnet18_sam_seed42_ep20,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sam_seed42_epoch20.pt,True,0.8502,0.579184,0.2710159999999999,102.40782928466797,325.37835693359375,0.7759788386718725,0.2690415131180679,7.964013912362876,2.0749331331068626,6.6222416834392375,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep20_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep20_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep20_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SAM,42,40,traj_cifar10_resnet18_sam_seed42_ep40,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sam_seed42_epoch40.pt,True,0.8882,0.654164,0.23403600000000002,74.72779846191406,750.8590698242188,0.751143537658092,0.23335161179461078,8.338342793156954,2.120864490769551,7.285936217254047,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep40_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep40_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep40_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SAM,42,60,traj_cifar10_resnet18_sam_seed42_ep60,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sam_seed42_epoch60.pt,True,0.9227,0.7052933333333333,0.21740666666666664,152.64901733398438,497.79119873046875,0.7750562538442036,0.36099672640937985,7.266480770747323,1.9832720987924595,5.350711517295463,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep60_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep60_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep60_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SAM,42,80,traj_cifar10_resnet18_sam_seed42_ep80,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sam_seed42_epoch80.pt,True,0.9467,0.731848,0.21485199999999993,8.51333236694336,90.34807586669922,0.7063665961429209,0.1886849926010979,9.174147813381769,2.216389508251608,8.128292051678333,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep80_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep80_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep80_hessian_topk_eigenvalues.csv,
CIFAR-10-C,ResNet-18,SAM,42,100,traj_cifar10_resnet18_sam_seed42_ep100,outputs/trajectory_minimal_20260518_024840/checkpoints/traj_cifar10_resnet18_sam_seed42_epoch100.pt,True,0.9571,0.752984,0.20411599999999996,4.78074312210083,67.83399963378906,0.7347099983983977,0.22752215202944742,8.567626378158774,2.147990725537177,7.236101868679727,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep100_cifarc_summary.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep100_hessian_geometry.json,outputs/trajectory_minimal_20260518_024840/logs/traj_cifar10_resnet18_sam_seed42_ep100_hessian_topk_eigenvalues.csv,
